Product_Id,title,price,brand,department,store,date
2611991,Not Mayo Spicy 350gr 350 gr,$71.00,NOTCO,Abarrotes,HEB,05/07/2022
2611990,Not Mayo Original 350gr 350 gr,$71.00,NOTCO,Abarrotes,HEB,05/07/2022
2611928,Salsa Habanera 250 gr,$69.90,KOSH,Abarrotes,HEB,05/07/2022
2611819,Chocolate Cacao 100% Mexicano + Taza de Regalo 630 gr,$92.00,ABUELITA,Abarrotes,HEB,05/07/2022
2611639,Sustituto de Crema para Cafe Liquido Plant Based C 330 gr,$26.00,COFFEEMATE,Abarrotes,HEB,05/07/2022
2611638,Coffee Mate Liquido Almendra Coffee Mate Liquido 330 gr,$26.00,COFFEEMATE,Abarrotes,HEB,05/07/2022
2611572,Colageno Creamer Sabor Vainilla 300gr 300 gr,$509.00,HEALTHADDICTION,Abarrotes,HEB,05/07/2022
2609826,Crema de Semilla de Girasol Original 200g 200 gr,$114.00,MIMA FOODS,Abarrotes,HEB,05/07/2022
2609825,Crema de Semilla de Girasol Maca Canela 200g 200 gr,$187.00,MIMA FOODS,Abarrotes,HEB,05/07/2022
2609824,Crema de Semilla de Girasol Café Vainilla 200g 200 gr,$198.00,MIMA FOODS,Abarrotes,HEB,05/07/2022
2609738,Tortillinas 100pto Integrales 255 gr,$21.50,TIA ROSA,Abarrotes,HEB,05/07/2022
2609729,Pan Integral Organico Dave Killer Bread Pan 100,$139.00,DAVES KILLER BR,Abarrotes,HEB,05/07/2022
2609727,Abuelita Cereal Abuelita Cereal 300 gr,$31.00,ABUELITA,Abarrotes,HEB,05/07/2022
2609712,Pan Blanco Libre de Gluten Cbh Pan Blanco Libre,$152.00,CANYON BAKE,Abarrotes,HEB,05/07/2022
2609711,Pan Integral Libre de Gluten Pan Libre de Gluten,$152.00,CANYON BAKE,Abarrotes,HEB,05/07/2022
2609710,Pan Integral Organico Dkb Sprouted Whole Grain,$139.00,DAVES KILLER BREAD,Abarrotes,HEB,05/07/2022
2609709,Pan Integral Organico Dave Killer Bread 21 Grano,$139.00,DAVES KILLER BREAD,Abarrotes,HEB,05/07/2022
2609708,Pan para Hamburguesa Organico Dave Killer Bread,$152.00,DAVES KILLER BR,Abarrotes,HEB,05/07/2022
2609707,Pan Integral Organico Dave Killer Bread Powersee,$165.00,DAVES KILLER BR,Abarrotes,HEB,05/07/2022
2609705,Aderezo Greek Feta,$88.50,MARIES,Abarrotes,HEB,05/07/2022
2609704,Aderezo Creamy Chipotle R,$88.50,MARIES,Abarrotes,HEB,05/07/2022
2609703,Aderezo Creamy Avocado Pobl,$88.50,MARIES,Abarrotes,HEB,05/07/2022
2609390,Pan para Hamburguesa Daves Killer Bread Hamburgu,$152.00,DAVES KILLER BR,Abarrotes,HEB,05/07/2022
2609369,Totopos de Maíz con Jamaica 200 gr,$59.00,TOSTAMAIKA,Abarrotes,HEB,05/07/2022
2609368,Tostadas de Maíz con Jamaica 200 gr,$59.00,TOSTAMAIKA,Abarrotes,HEB,05/07/2022
2609356,Jugo Sabor Uva 911 ml,$12.00,CIFRUT,Abarrotes,HEB,05/07/2022
2609355,Jugo Sabor Naranja 911 ml,$12.00,CIFRUT,Abarrotes,HEB,05/07/2022
2609351,Jugo Piña-Mandarina 500 ml,$14.00,DEL VALLE,Abarrotes,HEB,05/07/2022
2609350,Jugo Mango-Fresa 1 lt,$22.00,DEL VALLE,Abarrotes,HEB,05/07/2022
2609349,Jugo Mango-Fresa 500 ml,$14.00,DEL VALLE,Abarrotes,HEB,05/07/2022
2609348,Jugo Piña-Mandarina 1 lt,$22.00,DEL VALLE,Abarrotes,HEB,05/07/2022
2608948,"Ovatol Inositol (Myo D-Chiro, Mezcla Optima) 230 230 gr",$893.00,BIKINI BURN,Abarrotes,HEB,05/07/2022
2608947,Colageno 500 G 500 gr,"$1,257.00",BIKINI BURN,Abarrotes,HEB,05/07/2022
2608946,Blly-G Sumplemento 7 G 7 gr,$394.00,BIKINI BURN,Abarrotes,HEB,05/07/2022
2608945,Aceite de Linaza Cold Pressed 56 G 56 gr,$571.00,BIKINI BURN,Abarrotes,HEB,05/07/2022
2608938,Pastelitos Berrie Roll Caja Pastelitos Berr 288 gr,$77.90,WONDER,Abarrotes,HEB,05/07/2022
2608937,Pastelitos Brownies Caja Pastelitos Brownie 252 gr,$77.90,WONDER,Abarrotes,HEB,05/07/2022
2608936,Pastelitos Ah Caramel Cake Cajapastelitos a 336 gr,$77.90,WONDER,Abarrotes,HEB,05/07/2022
2608935,Pastelitos Red Velvet Caja Pastelitos Red V 324 gr,$77.90,WONDER,Abarrotes,HEB,05/07/2022
2608934,Pastelitos Flakie Cake Caja Pastelitos Flak 306 gr,$77.90,WONDER,Abarrotes,HEB,05/07/2022
2608791,Sazonador para Costillas 145 gr,$65.00,HEB,Abarrotes,HEB,05/07/2022
2608467,Conserva de Chile Piquin en Escabeche 250 gr,$125.00,LOS PIQUINES,Abarrotes,HEB,05/07/2022
2608460,Noglut Galletas C/Chispas Chocolate 150 G 150 gr,$85.00,SANTIVERI,Abarrotes,HEB,05/07/2022
2608459,Galletas Maria sin Gluten 180 G 180 gr,$76.00,SANTIVERI,Abarrotes,HEB,05/07/2022
2608456,Chicharron de Chile Serrano Seco 70 gr,$146.00,LA SAGRADA GOURMET,Abarrotes,HEB,05/07/2022
2608455,Chicharron de Chile Piquin Seco 25 gr,$146.00,LA SAGRADA GOURMET,Abarrotes,HEB,05/07/2022
2608454,Chicharron de Chile Jalapeño Seco 70 gr,$146.00,LA SAGRADA GOURMET,Abarrotes,HEB,05/07/2022
2608406,Sliders Queso y Jalapeño 453 gr,$51.00,HEB,Abarrotes,HEB,05/07/2022
2608405,Sliders Pan Blanco 453 gr,$51.00,HEB,Abarrotes,HEB,05/07/2022
2608404,Sliders Brioche 453 gr,$51.00,HEB,Abarrotes,HEB,05/07/2022
2608391,Chocolate para Mesa Reducido en Azúcar 240 gr,$96.00,ABUELITA,Abarrotes,HEB,05/07/2022
2608339,Salsa Norteña de Chile Jalapeño Rojo 235 ml,$67.90,LA TEZONERA,Abarrotes,HEB,05/07/2022
2608338,Salsa Norteña de Chile Jalapeño Verde 235 ml,$67.90,LA TEZONERA,Abarrotes,HEB,05/07/2022
2608188,Jugo Manzana-Arandano 946 ml,$29.90,NATURA,Abarrotes,HEB,05/07/2022
1735855,Frijol Negro Queretaro 900 gr,$38.90,VERDE VALLE,Abarrotes,HEB,05/07/2022
1696930,Frijoles Negros Refritos 400 gr,$13.90,LA SIERRA,Abarrotes,HEB,05/07/2022
2314129,Jugo Nectar de Manzana 125 ml,$5.00,JUMEX,Abarrotes,HEB,05/07/2022
1718851,Tajín Azul Salsa en Polvo 142g 142 gr,$33.90,,Abarrotes,HEB,05/07/2022
2409599,Knorr Pollo Knorr Pollo 12x132g Prm 4gts 132 gr,$15.00,KNORR,Abarrotes,HEB,05/07/2022
1690870,Harina P/Hot Cakes Tradicional 1kg 1 kg,$35.90,HCF,Abarrotes,HEB,05/07/2022
